Water Control Zone	Station	Dates	Sample No	Depth	5-day Biochemical Oxygen Demand (mg/L)
Tolo Harbour And Channel	TM3	02-08-1989	1	Middle Water	3
Tolo Harbour And Channel	TM3	02-08-1989	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	16-08-1989	1	Surface Water	3.8
Tolo Harbour And Channel	TM3	16-08-1989	1	Middle Water	3.2
Tolo Harbour And Channel	TM3	16-08-1989	1	Bottom Water	1.6
Tolo Harbour And Channel	TM3	30-08-1989	1	Surface Water	5
Tolo Harbour And Channel	TM3	30-08-1989	1	Middle Water	3.6
Tolo Harbour And Channel	TM3	30-08-1989	1	Bottom Water	0.2
Tolo Harbour And Channel	TM3	12-09-1989	1	Surface Water	5.1
Tolo Harbour And Channel	TM3	12-09-1989	1	Middle Water	4.4
Tolo Harbour And Channel	TM3	12-09-1989	1	Bottom Water	4.2
Tolo Harbour And Channel	TM3	27-09-1989	1	Surface Water	4.3
Tolo Harbour And Channel	TM3	27-09-1989	1	Middle Water	3.8
Tolo Harbour And Channel	TM3	27-09-1989	1	Bottom Water	2.4
Tolo Harbour And Channel	TM3	11-10-1989	1	Surface Water	3.1
Tolo Harbour And Channel	TM3	11-10-1989	1	Middle Water	3.6
Tolo Harbour And Channel	TM3	11-10-1989	1	Bottom Water	2.2
Tolo Harbour And Channel	TM3	25-10-1989	1	Surface Water	3.8
Tolo Harbour And Channel	TM3	25-10-1989	1	Middle Water	3.6
Tolo Harbour And Channel	TM3	25-10-1989	1	Bottom Water	1.4
Tolo Harbour And Channel	TM3	08-11-1989	1	Surface Water	5.3
Tolo Harbour And Channel	TM3	08-11-1989	1	Middle Water	1.5
Tolo Harbour And Channel	TM3	08-11-1989	1	Bottom Water	0.7
Tolo Harbour And Channel	TM3	22-11-1989	1	Surface Water	6.5
Tolo Harbour And Channel	TM3	22-11-1989	1	Middle Water	2.8
Tolo Harbour And Channel	TM3	22-11-1989	1	Bottom Water	2.8
Tolo Harbour And Channel	TM3	06-12-1989	1	Surface Water	3.6
Tolo Harbour And Channel	TM3	06-12-1989	1	Middle Water	3.8
Tolo Harbour And Channel	TM3	06-12-1989	1	Bottom Water	1.8
Tolo Harbour And Channel	TM3	20-12-1989	1	Surface Water	3.8
Tolo Harbour And Channel	TM3	20-12-1989	1	Middle Water	2.1
Tolo Harbour And Channel	TM3	20-12-1989	1	Bottom Water	0.9
Tolo Harbour And Channel	TM3	03-01-1990	1	Surface Water	1
Tolo Harbour And Channel	TM3	03-01-1990	1	Middle Water	0.9
Tolo Harbour And Channel	TM3	03-01-1990	1	Bottom Water	0.5
Tolo Harbour And Channel	TM3	17-01-1990	1	Surface Water	3.1
Tolo Harbour And Channel	TM3	17-01-1990	1	Middle Water	3.7
Tolo Harbour And Channel	TM3	17-01-1990	1	Bottom Water	3.1
Tolo Harbour And Channel	TM3	31-01-1990	1	Surface Water	3.2
Tolo Harbour And Channel	TM3	31-01-1990	1	Middle Water	3.2
Tolo Harbour And Channel	TM3	31-01-1990	1	Bottom Water	1.5
Tolo Harbour And Channel	TM3	14-02-1990	1	Surface Water	6.1
Tolo Harbour And Channel	TM3	14-02-1990	1	Middle Water	2.2
Tolo Harbour And Channel	TM3	14-02-1990	1	Bottom Water	1.5
Tolo Harbour And Channel	TM3	28-02-1990	1	Surface Water	3.5
Tolo Harbour And Channel	TM3	28-02-1990	1	Middle Water	3.5
Tolo Harbour And Channel	TM3	28-02-1990	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	14-03-1990	1	Surface Water	9.6
Tolo Harbour And Channel	TM3	14-03-1990	1	Middle Water	3.6
Tolo Harbour And Channel	TM3	14-03-1990	1	Bottom Water	2.7
Tolo Harbour And Channel	TM3	29-03-1990	1	Surface Water	2.2
Tolo Harbour And Channel	TM3	29-03-1990	1	Middle Water	0.6
Tolo Harbour And Channel	TM3	29-03-1990	1	Bottom Water	0.7
Tolo Harbour And Channel	TM3	12-04-1990	1	Surface Water	12.5
Tolo Harbour And Channel	TM3	12-04-1990	1	Middle Water	1
Tolo Harbour And Channel	TM3	12-04-1990	1	Bottom Water	0.7
Tolo Harbour And Channel	TM3	25-04-1990	1	Surface Water	0.7
Tolo Harbour And Channel	TM3	25-04-1990	1	Middle Water	0.4
Tolo Harbour And Channel	TM3	25-04-1990	1	Bottom Water	0.3
Tolo Harbour And Channel	TM3	09-05-1990	1	Surface Water	1.2
Tolo Harbour And Channel	TM3	09-05-1990	1	Middle Water	
Tolo Harbour And Channel	TM3	09-05-1990	1	Bottom Water	0.2
Tolo Harbour And Channel	TM3	23-05-1990	1	Surface Water	1.9
Tolo Harbour And Channel	TM3	23-05-1990	1	Middle Water	1.5
Tolo Harbour And Channel	TM3	23-05-1990	1	Bottom Water	1
Tolo Harbour And Channel	TM3	07-06-1990	1	Surface Water	6.6
Tolo Harbour And Channel	TM3	07-06-1990	1	Middle Water	6
Tolo Harbour And Channel	TM3	07-06-1990	1	Bottom Water	1.5
Tolo Harbour And Channel	TM3	20-06-1990	1	Surface Water	1.5
Tolo Harbour And Channel	TM3	20-06-1990	1	Middle Water	1.8
Tolo Harbour And Channel	TM3	20-06-1990	1	Bottom Water	0.9
Tolo Harbour And Channel	TM3	04-07-1990	1	Surface Water	3.5
Tolo Harbour And Channel	TM3	04-07-1990	1	Middle Water	2.4
Tolo Harbour And Channel	TM3	04-07-1990	1	Bottom Water	0.7
Tolo Harbour And Channel	TM3	18-07-1990	1	Surface Water	4.3
Tolo Harbour And Channel	TM3	18-07-1990	1	Middle Water	2.7
Tolo Harbour And Channel	TM3	18-07-1990	1	Bottom Water	1.4
Tolo Harbour And Channel	TM3	01-08-1990	1	Surface Water	0.8
Tolo Harbour And Channel	TM3	01-08-1990	1	Middle Water	0.5
Tolo Harbour And Channel	TM3	01-08-1990	1	Bottom Water	0.5
Tolo Harbour And Channel	TM3	15-08-1990	1	Surface Water	3.4
Tolo Harbour And Channel	TM3	15-08-1990	1	Middle Water	6.6
Tolo Harbour And Channel	TM3	15-08-1990	1	Bottom Water	1.3
Tolo Harbour And Channel	TM3	30-08-1990	1	Surface Water	1.5
Tolo Harbour And Channel	TM3	30-08-1990	1	Middle Water	0.9
Tolo Harbour And Channel	TM3	30-08-1990	1	Bottom Water	0.4
Tolo Harbour And Channel	TM3	12-09-1990	1	Surface Water	0.9
Tolo Harbour And Channel	TM3	12-09-1990	1	Middle Water	0.9
Tolo Harbour And Channel	TM3	12-09-1990	1	Bottom Water	0.9
Tolo Harbour And Channel	TM3	27-09-1990	1	Surface Water	2.5
Tolo Harbour And Channel	TM3	27-09-1990	1	Middle Water	1.9
Tolo Harbour And Channel	TM3	27-09-1990	1	Bottom Water	1.7
Tolo Harbour And Channel	TM3	10-10-1990	1	Surface Water	6
Tolo Harbour And Channel	TM3	10-10-1990	1	Middle Water	4.6
Tolo Harbour And Channel	TM3	10-10-1990	1	Bottom Water	2
Tolo Harbour And Channel	TM3	29-10-1990	1	Surface Water	1.8
Tolo Harbour And Channel	TM3	29-10-1990	1	Middle Water	2.2
Tolo Harbour And Channel	TM3	29-10-1990	1	Bottom Water	0.5
